Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	cdfbcbfb-1cb0-4cf3-bf81-4975fb6060d4
Plate Name	18JUNE2025 HMC3 Drug Repurp PLATE1 repeat
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
15	2	1	1	2252	0.91785079929	2067	695.517174649	0.39999898736	11.8872762458	0.00337911720306	24571	0.594057601809	1320.92111062	2278.45895568	0.517683207699	230.685822475	58.5093809776	739.673257233	2.15207450027	5107.64547544	25	0	0	Below	37	InLimits	5					
14	2	1	1	2421	0.919454770756	2226	725.987421384	0.439729251384	13.2807726864	0.00378134366134	29563	0.602325660508	1300.86806518	2258.56634983	0.527946572916	229.644073342	54.6645468998	770.65907499	2.08864066195	4950.30908768	25	0	0	Below	37	InLimits	5					
13	2	1	1	2314	0.924805531547	2140	723.778037383	0.443222169741	12.6771028037	0.00334137446704	27129	0.600240338906	1278.5899558	2210.84724833	0.523309878074	220.369013535	57.0933318589	731.824200883	2.11311018254	4937.4759997	25	0	0	Below	37	InLimits	5					
12	2	1	1	2631	0.903838844546	2378	757.116484441	0.444079663712	13.8418839361	0.00358609963059	32916	0.610978390492	1442.13520795	2474.1311824	0.537732202957	230.418916987	54.6975027342	867.275896486	2.07482999998	5271.49613878	25	0	0	Below	37	InLimits	5					
11	2	1	1	2664	0.9253003003	2465	731.096957404	0.451496892234	13.6527383367	0.00396739086638	33654	0.611547555032	1544.67878532	2616.0959767	0.538731832593	228.854877997	53.5494740595	876.693199125	2.12944074315	5687.13089309	25	0	0	Below	37	InLimits	5					
10	2	1	1	2713	0.906745300405	2460	745.982520325	0.446310977324	12.8426829268	0.00353419734497	31593	0.604049549965	1421.97702191	2425.23818567	0.528368130934	225.713546433	58.0861899788	801.420266726	2.14081698369	5350.03245973	25	0	0	Below	37	InLimits	5					
9	2	1	1	2364	0.909898477157	2151	764.425383543	0.468562992641	15.1943282194	0.00412880878524	32683	0.614302710329	1525.85159958	2591.84205856	0.542456973309	229.393898493	50.3099164703	926.107865615	2.03877945493	5587.68672697	25	0	0	Below	37	InLimits	5					
8	2	1	1	2693	0.912736724842	2458	720.157038242	0.439744090135	14.5679414158	0.00412087842221	35808	0.607566191203	1515.21967233	2580.52597185	0.534091947869	226.809297957	49.4343722073	902.801667131	2.07142162402	5566.2314758	25	0	0	Below	37	InLimits	5					
7	2	1	1	2602	0.909684857802	2367	795.378115758	0.496369334733	12.9100126743	0.00355531656197	30558	0.61283384475	1490.37296003	2531.95961778	0.53903963128	227.817792385	61.6093985208	948.161367099	1.94271842399	5421.67272659	25	0	0	Below	37	InLimits	5					
6	2	1	1	2628	0.923135464231	2426	757.165292663	0.458551888228	13.1298433636	0.00359709024487	31853	0.602697298451	1478.21586518	2524.32279534	0.528436594108	234.411128799	57.6675038458	884.150071148	2.04887853121	5499.10894762	25	0	0	Below	37	InLimits	5					
5	2	1	1	2492	0.922953451043	2300	725.909565217	0.460897436283	12.7195652174	0.00358485133421	29255	0.600795696856	1392.1129623	2381.98147325	0.524073413818	228.244860823	57.070312767	829.07243492	2.05341338287	5299.36396032	25	0	0	Below	37	InLimits	5					
