Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	5c70e1c6-19e4-48a5-967a-57d2a5f3f9a7
Plate Name	490423695
Measurement	Measurement 3
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
15	2	1	1	2199	0.933151432469	2052	718.710038986	0.511681105488	6.87378167641	0.00201951011072	14105	0.621305012115	1612.4192275	2759.31662531	0.549508563209	242.950985349	104.558170861	981.42741819	2.05476658105	5367.87828559	25	0	0	Below	37	InLimits	5					
14	2	1	1	2246	0.929652715939	2088	746.06848659	0.599625424164	6.81800766284	0.00198720629841	14236	0.630845703759	1844.59475247	3125.73089351	0.560823589124	244.408154949	109.426173082	1214.74275891	1.89136694141	5675.60737094	25	0	0	Below	37	InLimits	5					
13	2	1	1	2437	0.910545752975	2219	734.628210906	0.578470841644	6.89770166742	0.00207237538272	15306	0.630663258715	1814.22392316	3082.75519404	0.560407982597	243.163488099	106.503332027	1176.18701733	1.88780817556	5459.71765426	25	0	0	Below	37	InLimits	5					
12	2	1	1	2256	0.908687943262	2050	794.065853659	0.556640830343	7.85902439024	0.00214090001304	16111	0.629436231727	1707.29825877	2929.49934827	0.559568526434	253.954075436	101.038731302	1170.39074776	1.86099388127	5211.14676561	25	0	0	Below	37	InLimits	5					
11	2	1	1	2315	0.925269978402	2142	712.3767507	0.509626219776	7.13538748833	0.00209595091726	15284	0.631777391743	1686.28671015	2876.97415598	0.562665340234	240.852700747	99.8371499607	1005.30878204	2.11597621795	5505.8977826	25	0	0	Below	37	InLimits	5					
10	2	1	1	2318	0.933132010354	2163	735.200647249	0.566147018598	7.33795654184	0.00224670799544	15872	0.633052168471	1774.60066701	3025.54895413	0.564443084831	245.260349982	100.191469254	1126.27563073	1.99286694408	5506.90214909	25	0	0	Below	37	InLimits	5					
9	2	1	1	2074	0.928158148505	1925	746.923116883	0.531025723959	7.45922077922	0.00210859905213	14359	0.619881487661	1620.85009598	2756.85166098	0.547690821439	235.017399679	100.134201546	1029.76742867	1.97562568152	5451.39006014	25	0	0	Below	37	InLimits	5					
8	2	1	1	2559	0.925752246971	2369	749.509919797	0.562317719579	7.1528070916	0.00222463111425	16945	0.63303430529	1834.45476841	3124.87966952	0.56465578687	249.042478476	104.785423429	1197.82260463	1.95372963993	5561.59953904	25	0	0	Below	37	InLimits	5					
7	2	1	1	2172	0.915285451197	1988	790.160965795	0.595250158617	7.6976861167	0.00225923601669	15303	0.624745096006	1815.94123048	3111.68509443	0.554889088692	259.550798723	102.649153761	1298.64833309	1.76407475386	5372.72350195	25	0	0	Below	37	InLimits	5					
6	2	1	1	2306	0.928013876843	2140	789.251869159	0.579812154512	7.77523364486	0.00228819844016	16639	0.628753390484	1848.65906386	3169.640363	0.560420587563	258.25876492	101.508444017	1282.04043639	1.84989454969	5392.80036718	25	0	0	Below	37	InLimits	5					
5	2	1	1	2454	0.91075794621	2235	767.182102908	0.597154938031	7.94407158837	0.00245978976003	17755	0.636605425434	1894.84281734	3215.26814982	0.568142387377	249.476602752	96.5729090397	1317.00942304	1.81899912293	5646.24939738	25	0	0	Below	37	InLimits	5					
4	2	1	1	2258	0.913640389725	2063	787.642753272	0.549063555263	7.98982064954	0.0022308362738	16483	0.625725841789	1719.42016678	2969.90626706	0.555705396405	248.537210511	98.5807801978	1096.90479685	1.93331501244	5319.97049391	25	0	0	Below	37	InLimits	5					
3	2	1	1	2362	0.914902624894	2161	777.894030541	0.549827556923	7.7825080981	0.00215733194754	16818	0.617627339329	1732.11595207	2990.08776311	0.546278163194	251.162795596	99.9541562611	1146.24143062	1.97790668159	5409.27106364	25	0	0	Below	37	InLimits	5					
2	2	1	1	2528	0.920886075949	2328	691.719931271	0.489637283679	6.36554982818	0.00200057725825	14819	0.626878148812	1823.21665219	3131.9295499	0.557612663721	240.687246451	108.666171806	904.415325947	2.35575719166	5730.19570327	25	0	0	Below	37	InLimits	5					
2	3	1	1	2438	0.91632485644	2234	716.309758281	0.499532105333	6.03983885407	0.00184780783953	13493	0.628360766307	1777.43943932	3078.60386867	0.558145861059	242.382455952	118.597494997	968.129490599	2.27039823791	5372.20433717	25	0	0	Below	37	InLimits	5					
3	3	1	1	2026	0.928430404738	1881	724.073896863	0.531513425773	7.31632110579	0.00218688581908	13762	0.628930490221	1836.9663066	3142.10223805	0.559590900013	245.259337016	98.9669379451	1068.45101571	2.06448856539	5690.41052364	25	0	0	Below	37	InLimits	5					
4	3	1	1	2003	0.923115327009	1849	774.196863169	0.576145940636	7.74526771228	0.00217839351252	14321	0.630985024645	1941.85583949	3314.37574192	0.561926820417	251.994429312	99.9574052091	1261.87726948	1.86888807423	5848.77760079	25	0	0	Below	37	InLimits	5					
5	3	1	1	2170	0.926267281106	2010	730.923383085	0.545264562532	7.08109452736	0.00220182889207	14233	0.625457528742	1826.79484629	3111.17009766	0.554528705883	241.914608279	103.221808473	1151.37171505	1.96671798878	5642.07521613	25	0	0	Below	37	InLimits	5					
6	3	1	1	2167	0.910936778957	1974	761.781155015	0.57030091452	7.59270516717	0.0022086144534	14988	0.617099420622	1688.64549917	2877.57279157	0.544400229739	239.587671806	100.330664532	1132.8147945	1.84065921856	5454.19899457	25	0	0	InLimits	37	InLimits	5					
7	3	1	1	1939	0.912325941207	1769	731.651780667	0.546992216204	7.81288863765	0.00230748251995	13821	0.627104298231	1789.71929528	3060.53483829	0.556946458642	248.868226629	93.6467694089	1202.78329182	1.90729281936	5545.60583386	25	0	0	InLimits	37	InLimits	5					
8	3	1	1	2016	0.921626984127	1858	676.220667384	0.485204054732	6.77987082885	0.00212639995001	12597	0.622383238218	1835.53314451	3145.8508375	0.551068905241	236.88804349	99.7394617766	985.995551833	2.33735673031	5863.1131321	25	0	0	InLimits	37	InLimits	5					
9	3	1	1	2087	0.922855773838	1926	712.656282451	0.575692840175	6.63914849429	0.00214419390902	12787	0.63029355991	1724.60715035	2981.67169782	0.560423302914	246.520900618	107.34151873	1166.99170958	1.85669929927	5145.84151291	25	0	0	InLimits	37	InLimits	5					
10	3	1	1	2200	0.922727272727	2030	713.979802956	0.539091181557	6.8039408867	0.00207059126886	13812	0.621011323073	1608.47947461	2781.29003765	0.549272638784	241.158562413	104.936214886	985.738620723	1.96444669025	5222.39236433	25	0	0	InLimits	37	InLimits	5					
11	3	1	1	2069	0.920251329145	1904	752.754201681	0.569114890433	8.30829831933	0.00241419659941	15819	0.618179744184	1722.74860435	2955.89329288	0.546083877223	250.351329146	90.6026929642	1165.43155527	1.84922532259	5283.77568825	25	0	0	InLimits	37	InLimits	5					
12	3	1	1	2124	0.91713747646	1948	740.012833676	0.540817786262	7.74075975359	0.00223318480103	15079	0.621447947144	1652.39933064	2831.93799324	0.550136229962	243.575671139	95.5995092513	1012.99078685	1.98137292942	5416.45507237	25	0	0	InLimits	37	InLimits	5					
13	3	1	1	2090	0.924401913876	1932	685.424430642	0.550424077564	6.03364389234	0.00191205738695	11657	0.616922894141	1610.15973692	2782.46161105	0.544347746122	240.745494448	113.60041177	1037.81090302	1.93879888435	5108.95904961	25	0	0	InLimits	37	InLimits	5					
14	3	1	1	1886	0.926829268293	1748	701.228832952	0.558785658173	7.6704805492	0.00231288855438	13408	0.634009138881	1888.60355036	3239.28535203	0.566844012752	254.803027223	91.4191527446	1165.04652856	1.99163781953	5629.82445866	25	0	0	InLimits	37	InLimits	5					
15	3	1	1	1886	0.922587486744	1740	719.25	0.526597701458	7.78620689655	0.002187031654	13548	0.625789967559	1755.04270779	2990.45490109	0.555019986828	239.367941861	92.3748892826	1059.56718789	1.99708898161	5631.99451993	25	0	0	InLimits	37	InLimits	5					
