Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	3269cfb3-0258-4c5f-89f4-11773f9276ac
Plate Name	616065245
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
15	2	1	1	2769	0.917659804984	2541	639.17158599	0.449857345785	7.85635576545	0.00281272326313	19963	0.603720412459	1448.36301854	2489.87677203	0.529193879546	238.205884852	81.3572609327	792.010198651	2.23382559027	5192.45464842	25	0	0	Below	37	InLimits	5					
14	2	1	1	2534	0.927782162589	2351	715.775840068	0.49849472843	8.50191407912	0.00269142721034	19988	0.607322266282	1501.82255306	2557.7610066	0.532432068751	235.374691604	84.1899639784	896.416666741	2.09778057143	5316.26653236	25	0	0	Below	37	InLimits	5					
13	2	1	1	2752	0.92914244186	2557	744.341806805	0.521431170198	8.57450136879	0.00267059811439	21925	0.614819452887	1582.69627222	2685.71749145	0.54223621466	239.073791676	86.8087571266	977.391007251	2.0005938824	5558.51497004	25	0	0	Below	37	InLimits	5					
12	2	1	1	2665	0.923076923077	2460	779.688211382	0.534891110106	8.65528455285	0.00249046487514	21292	0.611983822394	1563.84520632	2673.08712192	0.538010528626	238.821643773	90.0823313921	964.234090752	1.96455000529	5340.0800608	25	0	0	Below	37	InLimits	5					
11	2	1	1	2667	0.924634420697	2466	719.02108678	0.514881118707	9.29440389294	0.00309421592483	22920	0.620155687246	1685.04190845	2824.50497382	0.548881205955	231.808249387	77.3606457243	981.512665513	2.09695811919	5879.96593223	25	0	0	Below	37	InLimits	5					
10	2	1	1	2419	0.935923935511	2264	684.193904594	0.456868183698	8.98763250883	0.00276097590049	20348	0.598070448768	1402.27773433	2416.97852369	0.521388774053	227.173891774	76.1261549047	771.437199416	2.22278758714	5146.32735716	25	0	0	Below	37	InLimits	5					
9	2	1	1	2566	0.909197194076	2333	817.15945135	0.572412845118	10.5015002143	0.00298498721238	24500	0.636596843601	1786.80275254	2989.68457143	0.567514756498	242.862790663	77.8135918367	1167.4878725	1.87031582211	5788.62256076	25	0	0	Below	37	InLimits	5					
8	2	1	1	2422	0.924442609414	2239	744.231799911	0.508485326373	9.30995980348	0.00290838267921	20845	0.605435750124	1491.87000665	2543.96862557	0.530682959011	236.713533588	79.9393139842	956.568209394	1.94706438104	5283.24461759	25	0	0	Below	37	InLimits	5					
7	2	1	1	2601	0.925028835063	2406	670.365752286	0.45799667939	10.2880299252	0.00323679997469	24753	0.603223369633	1516.06780777	2565.42972569	0.528931908346	230.771379274	65.1597786127	899.182533157	2.08186879892	5651.97581659	25	0	0	Below	37	InLimits	5					
6	2	1	1	2786	0.914931801866	2549	768.047469596	0.557218402338	8.72538250294	0.00259889544754	22241	0.625939554955	1715.53559611	2906.759768	0.554984417507	245.430793543	88.0245042939	1138.69302261	1.82969123156	5432.70677861	25	0	0	Below	37	InLimits	5					
